first_name,last_name,address,date_of_birth
AHSOXDWCGL,NETKWKSTBE,AZPZNVKX LKYFSP ADELAIDE SA 5000 AUSTRALIA,10-05-1977
GJFHJAX,DTX,EODDGF QCIWGSE MELBOURNE 3000 AUSTRALIA,14-06-1992
HHQBD,KXCPRW,RSBFPGDMU VVKMSKAL BRISBANE QLD 4001 AUSTRALIA,25-10-2005
KJONDVVDB,MNYGANDCGX,J AGCNMQN HOBART TAS 7000 AUSTRALIA,09-11-1971
DI,WB,XHFOSZQ WJSIHVW CANBERRA ACT 2600 AUSTRALIA,15-04-1963
XQ,CMI,IMXDPDQQN IXCGJAEXU PERTH WA 6000 AUSTRALIA,24-05-1958
MFLBV,IGAQ,HPMUX OMFJRRVAST BRISBANE QLD 4001 AUSTRALIA,09-10-1998
BX,GJJPNWSH,JFHEKIIA R PERTH WA 6000 AUSTRALIA,08-08-1962
YNSZWEGS,ATHPPLEF,FYGOSJAEQY MKGZCFT MELBOURNE 3000 AUSTRALIA,01-11-1992
HJXUSSHCEY,AASXPBPNO,CIINP NYDWKMG HOBART TAS 7000 AUSTRALIA,06-01-1956
UE,S,EG NDJNO ADELAIDE SA 5000 AUSTRALIA,06-07-2006
KKASWXMI,TE,UGYHQ JP HOBART TAS 7000 AUSTRALIA,03-04-1955
VEUZ,ISAWZY,YRUJRRS P BRISBANE QLD 4001 AUSTRALIA,22-08-1976
CRP,GZRSXFGJU,JYX WTSRASEPA CANBERRA ACT 2600 AUSTRALIA,26-09-1988
SHWZCNY,PAERRLWSPY,X YYDYJGOBIX SYDNEY NSW 2000 AUSTRALIA,05-11-2004
UKXD,QU,EFT CLYTVUOBVF DARWIN NT 0800 AUSTRALIA,04-03-2015
NCA,J,RB RGPL HOBART TAS 7000 AUSTRALIA,22-07-2016
MATUUPBXYH,JDQPUOO,ZAVAWLXET GZPXDCOPF CANBERRA ACT 2600 AUSTRALIA,28-04-2005
ZPSZZWYCO,JEN,PNRWQRGO P DARWIN NT 0800 AUSTRALIA,18-06-1983
BALISX,NKMBRVDYY,IEKIZX YQTSTEDCH MELBOURNE 3000 AUSTRALIA,03-11-1954
SWLCEA,P,BJIOKNSSRL VB BRISBANE QLD 4001 AUSTRALIA,26-08-1981
UAQGC,IKX,VDDKGEZ SGSOPQV BRISBANE QLD 4001 AUSTRALIA,14-08-1955
GNOCS,P,Y LFY HOBART TAS 7000 AUSTRALIA,07-06-2003
VYLECXR,IEEDW,CGLLEWRJ QGAXWRIRM MELBOURNE 3000 AUSTRALIA,27-11-1991
GPNF,RWGIXG,CAVMEBZFYN LYOVDZS BRISBANE QLD 4001 AUSTRALIA,28-08-2014
OHMN,B,GQNS BEBQYFJWO DARWIN NT 0800 AUSTRALIA,28-06-2005
EDVZWNYKD,PQWPJA,CFGTTNTO WWAK SYDNEY NSW 2000 AUSTRALIA,15-04-1983
BK,YXDGVUWSNP,FWY UF HOBART TAS 7000 AUSTRALIA,26-11-1981
LALCCL,HIQR,OECVFOOBG OTMT HOBART TAS 7000 AUSTRALIA,13-07-1996
UDHUHWYPJ,MBPXLKCENC,NKNSHNUE UIR BRISBANE QLD 4001 AUSTRALIA,13-03-1991
WJQU,SGSWGU,UNWMYACTH N DARWIN NT 0800 AUSTRALIA,02-08-2005
WZUWPBKI,NMLCBPJSUT,HUVRE DJWBZYF SYDNEY NSW 2000 AUSTRALIA,04-07-1958
OYPTC,LFRDU,JJKIM B BRISBANE QLD 4001 AUSTRALIA,25-08-1950
DMJ,T,YBV FNMPXM ADELAIDE SA 5000 AUSTRALIA,09-09-2011
I,LC,KR DYUCO CANBERRA ACT 2600 AUSTRALIA,29-11-1998
QXTEGBKVHO,HWTBXU,YEH BLCAEWWZY PERTH WA 6000 AUSTRALIA,12-04-1981
GDBM,ZW,TWSYGC MVEPDWR ADELAIDE SA 5000 AUSTRALIA,10-08-1960
GQFLRECOFD,M,R GLQ CANBERRA ACT 2600 AUSTRALIA,08-04-2000
FP,YDIFA,BD CUMJHW MELBOURNE 3000 AUSTRALIA,03-08-2016
UQZQPT,HZEKIE,TJQBY CODRCRYP HOBART TAS 7000 AUSTRALIA,11-02-1950
YU,HKUZJFLPMT,AWQXSG KEOTMSUU MELBOURNE 3000 AUSTRALIA,18-10-1993
MYDD,PYVESQ,RVMIHNVB B DARWIN NT 0800 AUSTRALIA,08-07-1986
XAKCFWOVU,MM,VUR Z BRISBANE QLD 4001 AUSTRALIA,13-10-1997
X,BXZUK,UF UGMEJTJV ADELAIDE SA 5000 AUSTRALIA,14-06-1952
AZFTDIHARP,AWJRIPBAX,G NWLKXMDT MELBOURNE 3000 AUSTRALIA,09-02-1987
Q,KBDU,LR N ADELAIDE SA 5000 AUSTRALIA,21-03-2012
PEDXJ,VBCBEXGUW,WZFFGWTWZ QOC MELBOURNE 3000 AUSTRALIA,08-09-2002
UMT,ATXFJ,SVPZQDAY FPYINTK HOBART TAS 7000 AUSTRALIA,17-06-2018
MUYNKNLJH,QUGUZK,WHOCAJW PBFJBY ADELAIDE SA 5000 AUSTRALIA,24-03-1979
FZDTUCNOV,HBUAQOQ,UHHHINE IVY PERTH WA 6000 AUSTRALIA,12-06-1959
HHP,KHDVPN,AJV AQ HOBART TAS 7000 AUSTRALIA,07-09-2002
UVRIJUMFDI,SBXNOFY,YJJBLHO SADWII PERTH WA 6000 AUSTRALIA,14-08-1992
RD,HUQCDWV,DJOV DXRYGF BRISBANE QLD 4001 AUSTRALIA,24-03-1962
TCBVTX,L,PUVRFNAFJS GBPEZB ADELAIDE SA 5000 AUSTRALIA,15-10-2003
DOYWPUYL,A,UIJ NVEUGM CANBERRA ACT 2600 AUSTRALIA,06-06-1980
NJQHPVITBY,Z,FOSLPMEIM ZAKE HOBART TAS 7000 AUSTRALIA,01-08-1986
N,HAUHOPMH,JONKMLS LFR HOBART TAS 7000 AUSTRALIA,13-02-1979
TB,QTYNUSIIUE,LRFSRTH WCRFGICAI DARWIN NT 0800 AUSTRALIA,26-06-1997
HQFXPGRA,K,Q QUQOJF BRISBANE QLD 4001 AUSTRALIA,26-07-2011
MCKQSV,DBK,ORKKK ORBSTV DARWIN NT 0800 AUSTRALIA,01-02-1985
IJCQ,ZMNXUSK,TNFJOELGU VSEDYYMST BRISBANE QLD 4001 AUSTRALIA,11-06-2006
DFPW,SUYJUIQMC,HZHMAF H CANBERRA ACT 2600 AUSTRALIA,07-10-2005
QFTJ,NBDTG,BULANT ASRNS SYDNEY NSW 2000 AUSTRALIA,05-02-1984
X,GXTFRA,FMR CURIE DARWIN NT 0800 AUSTRALIA,07-04-1986
OHWVFKR,W,KJDW PEHM ADELAIDE SA 5000 AUSTRALIA,12-01-2014
BYKF,IWU,GXCNS LKHUOCKRM DARWIN NT 0800 AUSTRALIA,22-06-1972
JOIBJ,GPLJQWMEYQ,HCQSKGUWFC HZCMECLA HOBART TAS 7000 AUSTRALIA,25-07-1977
TACJUC,JRB,DEGZC I SYDNEY NSW 2000 AUSTRALIA,28-01-1990
OXYJNK,EVHM,QWWNNFSR GLN DARWIN NT 0800 AUSTRALIA,02-04-2004
FQZT,AOFCBLYPA,PIQARG JOP MELBOURNE 3000 AUSTRALIA,22-06-1992
YDQIPEVASW,UXMCIIXRIK,XP BAIU SYDNEY NSW 2000 AUSTRALIA,02-11-1974
JEIONOQPK,TF,LDLTUUSQW LOBV MELBOURNE 3000 AUSTRALIA,02-07-1958
VRRRE,YRMFSI,ZYQLMXXXRV IMHLMGE CANBERRA ACT 2600 AUSTRALIA,13-01-1957
NPELLMDJ,IP,XOYNQPW KQGVIS PERTH WA 6000 AUSTRALIA,09-09-1980
NHCRCJQQ,JNKOH,GHTJKNUPL PWPDFGWYPO BRISBANE QLD 4001 AUSTRALIA,23-10-2018
UFS,LQNXRQIGXC,LODTB IFMNPSZ DARWIN NT 0800 AUSTRALIA,09-04-1980
OXGXC,CJOPZECRIB,GPUE CUFHCGFS BRISBANE QLD 4001 AUSTRALIA,07-05-2005
TRTKFIHDNE,ZAKBSMPDA,K LOJ MELBOURNE 3000 AUSTRALIA,24-06-1962
YSQWG,OBYIMZO,CWKQLLYAN VFW DARWIN NT 0800 AUSTRALIA,15-02-1987
TTEMDSJ,UTRX,PP R CANBERRA ACT 2600 AUSTRALIA,24-05-1993
JGE,PGRK,XZ OQH ADELAIDE SA 5000 AUSTRALIA,23-02-1972
WJBZFS,CYSIOQMXD,JM EEIVJKOQHS ADELAIDE SA 5000 AUSTRALIA,13-05-1970
WVMWMKMDTH,ESSCXAYB,NBZMH HSMPDSJFXA ADELAIDE SA 5000 AUSTRALIA,27-10-2009
BPKJW,F,DPPP OJPMFX MELBOURNE 3000 AUSTRALIA,29-03-1999
JRHUXA,JV,PCSG ZGBLVVINJP MELBOURNE 3000 AUSTRALIA,03-06-1992
UDVVWFFVS,TDO,EZUBSVEZ Q BRISBANE QLD 4001 AUSTRALIA,16-06-1958
OGQHHAUS,KDQKOQZR,DFXZP ESMFEMXWR DARWIN NT 0800 AUSTRALIA,24-11-1974
WDGIMSFN,HAZ,NQH VPTCCNIFZ DARWIN NT 0800 AUSTRALIA,24-03-1976
ONFZAKPO,EYZ,YURGQS K CANBERRA ACT 2600 AUSTRALIA,03-06-1977
GSWEBNPL,NOTJLL,VNX ZNPWOSIZD HOBART TAS 7000 AUSTRALIA,26-10-2007
DMLAIBIVVU,UNRIGXW,IUTCMO BJWWR CANBERRA ACT 2600 AUSTRALIA,08-11-1986
URRFLC,CX,KLWB JPEES SYDNEY NSW 2000 AUSTRALIA,29-04-1992
GAPCEDXLZ,XSY,CXJVLOCDGA SMDLANPFMK BRISBANE QLD 4001 AUSTRALIA,16-07-1960
OI,PSEWRTTWQE,ZE YWQ MELBOURNE 3000 AUSTRALIA,06-06-1974
D,QMK,VHGMAWPBV CILRZ BRISBANE QLD 4001 AUSTRALIA,09-11-1959
GWIYDI,VMGEUDQIHQ,JGIJBK YHAXQCZQOT ADELAIDE SA 5000 AUSTRALIA,08-11-1997
IAZZAPOHWD,FUXLLCUH,GSMM HE DARWIN NT 0800 AUSTRALIA,27-11-2018
S,TZCWL,JMEKGW CMYCIN DARWIN NT 0800 AUSTRALIA,21-03-1982
XZIUDATFX,QHYFUIEI,PDUGFM PJBVVWD ADELAIDE SA 5000 AUSTRALIA,16-10-2003
ZOMUGEA,A,SCOWAKRQ AGACRPWYV BRISBANE QLD 4001 AUSTRALIA,15-08-1956
VFVW,RMYQUAX,XL MWFT BRISBANE QLD 4001 AUSTRALIA,20-09-1981
HTIEXNV,BTDLKQKE,UINQM ZH PERTH WA 6000 AUSTRALIA,28-06-1951
GCSCG,VSVZRK,VBDJVZSXQA LTXRLI BRISBANE QLD 4001 AUSTRALIA,14-02-2004
EHGLNGI,QOYQ,GXTOPX RUPZHODOKZ ADELAIDE SA 5000 AUSTRALIA,10-05-1965
QTZWARJTKI,FAACL,JFBGN TTHHKTVJAT SYDNEY NSW 2000 AUSTRALIA,04-10-1994
ALC,ZGOSTHLX,R RLAJYOBUI HOBART TAS 7000 AUSTRALIA,10-04-1952
KRGKZ,FZQCEHEPZO,CZYNNUT BBBHPMNI SYDNEY NSW 2000 AUSTRALIA,22-10-2013
IU,I,TKO GBUNQ ADELAIDE SA 5000 AUSTRALIA,02-04-1968
IASAMZVD,XYTPXLFMCS,EDCJ BDCLUA MELBOURNE 3000 AUSTRALIA,12-04-1982
ISXXFM,SGATV,FUF BQVDR BRISBANE QLD 4001 AUSTRALIA,21-07-1976
QYNA,XPOFBKERY,YZVENLLWR XDOXQY ADELAIDE SA 5000 AUSTRALIA,15-05-1979
TCCOYQA,PUMMKXGX,BWULHPIK EMVHSDMW BRISBANE QLD 4001 AUSTRALIA,14-07-2011
RUTT,IMM,NNZB L DARWIN NT 0800 AUSTRALIA,09-06-1972
QUMG,UGWCK,X XWJ PERTH WA 6000 AUSTRALIA,27-08-2002
INBGH,ZT,TS FLIJFVK CANBERRA ACT 2600 AUSTRALIA,03-08-1976
WRVJNVB,IEM,ZGPPEUG JHQSEIPIA CANBERRA ACT 2600 AUSTRALIA,07-11-1974
ITI,NB,QSPCQ KH HOBART TAS 7000 AUSTRALIA,17-05-1957
IBXHOYFRPN,EJ,OK LQWBIQPSS DARWIN NT 0800 AUSTRALIA,15-04-1961
DQJEC,LEJ,ERHYNEWDXO HJXXWXGQRC CANBERRA ACT 2600 AUSTRALIA,22-07-1988
UEGISEMS,ACPEKDJ,YZMDJISDE XEGPIK PERTH WA 6000 AUSTRALIA,22-01-1990
UJIXSWM,K,EZX UOONQMSJ SYDNEY NSW 2000 AUSTRALIA,04-09-1950
FELLGUQI,PTLWCWWWQ,J GFJQMJBHU PERTH WA 6000 AUSTRALIA,08-09-1984
X,UERSEFQJZE,O I PERTH WA 6000 AUSTRALIA,15-11-1989
DNCE,ZK,VASC MQ CANBERRA ACT 2600 AUSTRALIA,14-08-1965
GMWBHDLV,UJ,CJEWB VKISYJ SYDNEY NSW 2000 AUSTRALIA,21-05-1965
HIAADO,DL,L ADXKPLJHH HOBART TAS 7000 AUSTRALIA,19-03-1957
KZIWYVTBTS,TDA,DAG CYYA PERTH WA 6000 AUSTRALIA,15-10-1951
IHAUPLSS,O,CYUAWJABL TVD BRISBANE QLD 4001 AUSTRALIA,04-07-1986
XXTUONZJ,HXLROZ,XVY ATUWXRABWO HOBART TAS 7000 AUSTRALIA,28-03-2006
OYLH,UYNEDI,LPB QSH MELBOURNE 3000 AUSTRALIA,29-03-1991
VYPU,PNJJAR,NF VYOBO DARWIN NT 0800 AUSTRALIA,28-11-1990
KGVJXU,RW,IEO JXPNI PERTH WA 6000 AUSTRALIA,08-08-1987
YQTRYFUPOU,JADOVWYR,YDHTFRT EAHG MELBOURNE 3000 AUSTRALIA,13-03-1987
MPYUHTQ,AY,UL TZVQPVEOX DARWIN NT 0800 AUSTRALIA,14-08-1983
XWTI,CHHFFKH,NRRYBAWP HDYYXCM HOBART TAS 7000 AUSTRALIA,27-07-1990
TNTEE,KDCFFXYQ,BWTHWJH HSJCRRMV CANBERRA ACT 2600 AUSTRALIA,26-05-1959
SY,UZUYMD,FHL BI CANBERRA ACT 2600 AUSTRALIA,02-09-1952
QF,VJ,W CYBWQ HOBART TAS 7000 AUSTRALIA,08-06-2001
DAWQFK,ODEPLO,XJO AKWA SYDNEY NSW 2000 AUSTRALIA,07-04-1961
AROBLX,JHJY,ZBNKIJOT ZLLBA CANBERRA ACT 2600 AUSTRALIA,10-05-1981
XNZBQUMZND,XGCUV,HTPNORRQ NU SYDNEY NSW 2000 AUSTRALIA,02-08-1993
YZI,LRPRWAG,D GNPMG BRISBANE QLD 4001 AUSTRALIA,01-08-1985
RX,VZVVSZUSSM,VFDRDI NJCYJ PERTH WA 6000 AUSTRALIA,06-08-1954
IBCLKPUVC,AGRFA,YMPUYPPZ ARUGMMRVE BRISBANE QLD 4001 AUSTRALIA,26-01-2010
VV,LJEVAZO,IKROYGCRM HG MELBOURNE 3000 AUSTRALIA,27-09-1995
JAIDFL,P,UPLKRCCC JKYCGMOBQ ADELAIDE SA 5000 AUSTRALIA,29-11-1992
JPLDTGOYBM,WEFPLO,BCSX FYAZXERE PERTH WA 6000 AUSTRALIA,09-04-2004
XVUNRRWZ,SK,JIXRBAGZR HWGWANY BRISBANE QLD 4001 AUSTRALIA,15-06-1998
WLIB,SWWFXV,L UWOHDSD CANBERRA ACT 2600 AUSTRALIA,13-11-2000
Q,KQDDJUFAT,WJOBUFLAA WUDKFCUEO HOBART TAS 7000 AUSTRALIA,18-02-2014
DAEU,E,LSPMHGH TUMOUXUBZQ CANBERRA ACT 2600 AUSTRALIA,11-11-1993
MGCMN,OGXE,MNYCHHOM NRL ADELAIDE SA 5000 AUSTRALIA,06-03-1996
RR,D,AODZLREEI UYAS CANBERRA ACT 2600 AUSTRALIA,02-04-2011
MQDTDQ,EVFWZEFMT,ZBLLBHBU IU BRISBANE QLD 4001 AUSTRALIA,03-09-1996
FHPB,WNZLJB,YQ LGZYWAP HOBART TAS 7000 AUSTRALIA,22-04-2018
YIICKZSWIW,DZGA,QL IQSJDXDKV SYDNEY NSW 2000 AUSTRALIA,02-11-1986
N,JK,XPDHVLUHO ACX CANBERRA ACT 2600 AUSTRALIA,29-01-1975
NVGJSFVYV,VDUZDB,TU LPZHTQL DARWIN NT 0800 AUSTRALIA,08-02-1971
YXCAT,NZLJWDXK,VBHGLHTGK KNALFBZML DARWIN NT 0800 AUSTRALIA,15-04-2008
DNRAY,LMDCCND,N IJ HOBART TAS 7000 AUSTRALIA,21-03-1957
ILTCOEJWQA,QGWKALMYT,OCWACAH WOMXQVO PERTH WA 6000 AUSTRALIA,24-03-1995
IV,ONI,LYCSZV UDM ADELAIDE SA 5000 AUSTRALIA,07-08-2016
URXCMHV,G,POGKWUBTM PPPGOMIIDK BRISBANE QLD 4001 AUSTRALIA,23-04-1969
TJTI,Q,TAODWX LGO SYDNEY NSW 2000 AUSTRALIA,08-09-2010
SGHWAY,E,C C HOBART TAS 7000 AUSTRALIA,19-05-2000
LVXZFVTJ,KRUVWW,RNMLLQKS NFQW PERTH WA 6000 AUSTRALIA,16-01-2015
AVDOFRK,APYFZLCDZM,WPHJLNU XRYKAVY BRISBANE QLD 4001 AUSTRALIA,05-03-1970
UM,TEIY,QDMBEGDCU IKBEXOHT DARWIN NT 0800 AUSTRALIA,13-06-2011
ZLTP,UQ,RDJFY ZHPDFRRR HOBART TAS 7000 AUSTRALIA,21-09-2016
AF,KG,A FXZXOHBWU ADELAIDE SA 5000 AUSTRALIA,02-01-1954
W,BBFH,YQTZHK O BRISBANE QLD 4001 AUSTRALIA,16-01-2012
DBGHYLC,VTJYTBGXQX,C FGSLM PERTH WA 6000 AUSTRALIA,13-05-1965
FVD,HMSWWKID,QJUTNJXPYM OEUN HOBART TAS 7000 AUSTRALIA,28-04-1972
SY,DSY,FRQQYWL P CANBERRA ACT 2600 AUSTRALIA,14-05-1968
A,WZIYYUFMTT,VEXMFRBTDU SKEFB SYDNEY NSW 2000 AUSTRALIA,21-05-1961
RHYJGE,LA,D EDNMQJDCM SYDNEY NSW 2000 AUSTRALIA,25-02-1957
CKOJR,SDVRXEF,HB PAPC PERTH WA 6000 AUSTRALIA,12-05-1991
TLKOC,PA,UW SCE DARWIN NT 0800 AUSTRALIA,10-03-1977
T,IHQWNMYT,SCU NQZ CANBERRA ACT 2600 AUSTRALIA,11-04-2000
CXW,ODHYPP,ZSYC S PERTH WA 6000 AUSTRALIA,26-08-1971
FIRXLJJ,CMCZPHIQ,UMFDU ZVQIQYZZNP MELBOURNE 3000 AUSTRALIA,18-08-1965
Y,ZOGLDJ,YPILMOGP UAWPN CANBERRA ACT 2600 AUSTRALIA,07-10-2017
UWUU,LSB,FAV P PERTH WA 6000 AUSTRALIA,27-05-1973
L,SOI,QMC QUKY BRISBANE QLD 4001 AUSTRALIA,17-05-1976
SOQ,W,ZZYKC JVQKQ MELBOURNE 3000 AUSTRALIA,28-08-1987
BIJAAPK,XMVADH,CMUFNVNJ LFPXONPGT MELBOURNE 3000 AUSTRALIA,27-09-1957
AQZWHR,JYFFC,OO SNMHH SYDNEY NSW 2000 AUSTRALIA,10-10-1976
GUV,B,W YTWSJSOYD ADELAIDE SA 5000 AUSTRALIA,06-05-1980
DFPERMV,VFPMCGGT,QADLY JFKJBOH CANBERRA ACT 2600 AUSTRALIA,23-02-1983
LIUDZXQIZL,IQGJDVJ,XDEVUM SROQZ MELBOURNE 3000 AUSTRALIA,06-02-1983
QIGIWJNK,FSKYF,DOTGHFJAQ HNJ ADELAIDE SA 5000 AUSTRALIA,14-06-1952
FZT,OVFRIMDJ,MSCTWKGD EIMX BRISBANE QLD 4001 AUSTRALIA,13-02-1970
MVTDK,LKTRJTNMW,AOQMT HG CANBERRA ACT 2600 AUSTRALIA,02-10-1995
HCZSRGVF,RJZM,CFM NHXUHL BRISBANE QLD 4001 AUSTRALIA,02-03-1984
FVMFNUBNJ,ORMAZD,RQNELHB XGKLUWJOW BRISBANE QLD 4001 AUSTRALIA,11-07-1961
HWX,IRIZWMKNV,HRKHCJJVVP LNQEINQI BRISBANE QLD 4001 AUSTRALIA,21-08-1993
BLBM,PQ,ZOVQRGBJ GUPMKWC SYDNEY NSW 2000 AUSTRALIA,14-03-2005
XTKOVODF,MBLE,CICTVA UXZVOWBWFY BRISBANE QLD 4001 AUSTRALIA,26-08-1972
XXBWBN,N,BHBZ JTXM HOBART TAS 7000 AUSTRALIA,04-02-1978
CBTEE,ZDJCKIP,RKBFUEI GUUCAQHLFP CANBERRA ACT 2600 AUSTRALIA,29-03-1985
KIXCSVAV,ZLCIRKV,FFIHDPKNSA CNC ADELAIDE SA 5000 AUSTRALIA,16-01-1991
DYNHO,ZXQZCUDA,VBKEKKK XLAYNZK SYDNEY NSW 2000 AUSTRALIA,14-07-2008
DCGSTZWPV,NCF,MRL GHE BRISBANE QLD 4001 AUSTRALIA,22-06-2011
LXLQFQTCN,MQAGTO,MOKY AEFBD BRISBANE QLD 4001 AUSTRALIA,28-07-1964
KDJFRVWGIW,BRL,NPXHMFS QWMYOHNNO DARWIN NT 0800 AUSTRALIA,01-01-1989
VN,V,C MWMHIN SYDNEY NSW 2000 AUSTRALIA,18-09-1988
JT,REPDKV,B PMMHUWRIIB PERTH WA 6000 AUSTRALIA,15-05-1955
SRKKHKCCXI,LQKMEPMOVN,ZDE PTFQPAKPFI HOBART TAS 7000 AUSTRALIA,19-02-1998
UMCUG,VNMUMOPL,JT KSCMEKAST DARWIN NT 0800 AUSTRALIA,20-09-1957
CHKARJNXZ,G,MFKLBALG CNUIYDSDMA HOBART TAS 7000 AUSTRALIA,17-08-1995
WX,OXSLTVTQN,OP R DARWIN NT 0800 AUSTRALIA,02-10-1958
HWPOJ,CPYAIT,PIRAH YTAFXYTRF HOBART TAS 7000 AUSTRALIA,25-02-1961
JLPBCAH,TOPHU,JOZ JKFJYZGN DARWIN NT 0800 AUSTRALIA,18-11-2013
V,BONWZYHP,VWJNAKZLDF HMDYMMV BRISBANE QLD 4001 AUSTRALIA,16-09-2017
VW,CKQHPC,UHMCZJGJL OUVGXUTME PERTH WA 6000 AUSTRALIA,09-05-1956
TCWI,CHJSWLLOWH,CA XPKQMHXF ADELAIDE SA 5000 AUSTRALIA,22-10-1950
JLOF,CDNLSXBINR,AKOVH BCQHDBH SYDNEY NSW 2000 AUSTRALIA,03-04-2003
